DT,Message,Severity
2019-06-09 06:06:21,kernel: POSIX conformance testing by UNIFIX,0
2019-06-09 06:06:21,kernel: NET: Registered protocol family 16,0
2019-06-09 06:06:21,"kernel: PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",0
2019-06-09 06:06:21,kernel: PCI: Using configuration type 1,0
2019-06-09 06:06:21,kernel: mtrr: v2.0 (20020519),0
2019-06-09 06:06:21,kernel: ACPI: Subsystem revision 20040326,0
2019-06-09 06:06:21,kernel: ACPI: Interpreter disabled.,0
2019-06-09 06:06:21,kernel: Linux Plug and Play Support v0.97 (c) Adam Belay,0
2019-06-09 06:06:21,kernel: usbcore: registered new driver usbfs,0
2019-06-09 06:06:21,kernel: usbcore: registered new driver hub,0
2019-06-09 06:06:21,rpcidmapd: rpc.idmapd startup succeeded,0
2019-06-09 06:06:21,kernel: ACPI: ACPI tables contain no PCI IRQ routing entries,0
2019-06-09 06:06:21,kernel: PCI: Invalid ACPI-PCI IRQ routing table,0
2019-06-09 06:06:21,random: Initializing random number generator:  succeeded,0
2019-06-09 06:06:21,kernel: PCI: Probing PCI hardware,0
2019-06-09 06:06:21,kernel: PCI: Probing PCI hardware (bus 00),0
2019-06-09 06:06:21,kernel: Transparent bridge - 0000:00:1e.0,0
2019-06-09 06:06:21,kernel: PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,0
2019-06-09 06:06:21,kernel: apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),0
2019-06-09 06:06:21,kernel: audit: initializing netlink socket (disabled),0
2019-06-09 06:06:21,kernel: audit(1118297138.4294965368:0): initialized,0
2019-06-09 06:06:21,"kernel: Total HugeTLB memory allocated, 0",0
2019-06-09 06:06:21,rc: Starting pcmcia:  succeeded,0
2019-06-09 06:06:21,kernel: VFS: Disk quotas dquot_6.5.1,0
2019-06-09 06:06:21,"kernel: Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",0
2019-06-09 06:06:21,kernel: SELinux:  Registering netfilter hooks,0
2019-06-09 06:06:21,kernel: Initializing Cryptographic API,0
2019-06-09 06:06:21,kernel: pci_hotplug: PCI Hot Plug PCI Core version: 0.5,0
2019-06-09 06:06:21,kernel: isapnp: Scanning for PnP cards...,0
2019-06-09 06:06:21,kernel: isapnp: No Plug & Play device found,0
2019-06-09 06:06:21,kernel: Real Time Clock Driver v1.12,0
2019-06-09 06:06:21,kernel: Linux agpgart interface v0.100 (c) Dave Jones,0
2019-06-09 06:06:21,kernel: agpgart: Detected an Intel i810 E Chipset.,0
2019-06-09 06:06:21,kernel: agpgart: Maximum main memory to use for agp memory: 93M,0
2019-06-09 06:06:22,bluetooth: hcid startup succeeded,0
2019-06-09 06:06:22,kernel: agpgart: detected 4MB dedicated video ram.,0
2019-06-09 06:06:22,hcid[1677]: HCI daemon ver 2.4 started,0
2019-06-09 06:06:17,network: Setting network parameters:  succeeded ,0
2019-06-09 06:06:22,bluetooth: sdpd startup succeeded,0
2019-06-09 06:06:22,kernel: agpgart: AGP aperture is 64M @ 0xf4000000,0
2019-06-09 06:06:22,sdpd[1681]: sdpd v1.5 started ,0
2019-06-09 06:06:17,network: Bringing up loopback interface:  succeeded ,0
2019-06-09 06:06:22,"kernel: Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled",0
2019-06-09 06:06:22,kernel: ttyS0 at I/O 0x3f8 (irq = 4) is a 16550A,0
2019-06-09 06:06:22,kernel: ttyS1 at I/O 0x2f8 (irq = 3) is a 16550A,0
2019-06-09 06:06:22,kernel: RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,0
2019-06-09 06:06:22,kernel: Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2,0
2019-06-09 06:06:23,netfs: Mounting other filesystems:  succeeded,0
2019-06-09 06:06:23,kernel: ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,0
2019-06-09 06:06:23,kernel: ICH: IDE controller at PCI slot 0000:00:1f.1,0
2019-06-09 06:06:23,"apmd[1717]: Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)",0
2019-06-09 06:06:23,apmd: apmd startup succeeded,0
2019-06-09 06:06:23,kernel: ICH: chipset revision 2,0
2019-06-09 06:06:23,kernel: ICH: not 100%% native mode: will probe irqs later,0
2019-06-09 06:06:23,"kernel:     ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio",0
2019-06-09 06:06:24,autofs: automount startup succeeded,0
2019-06-09 06:06:24,"kernel:     ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio",0
2019-06-09 06:06:24,"kernel: hda: IBM-DTLA-307015, ATA DISK drive",0
2019-06-09 06:06:24,smartd[1755]: smartd version 5.21 Copyright (C) 2002-3 Bruce Allen ,0
2019-06-09 06:06:24,kernel: Using cfq io scheduler,0
2019-06-09 06:06:24,smartd[1755]: Home page is http://smartmontools.sourceforge.net/  ,0
2019-06-09 06:06:24,"kernel: ide0 at 0x1f0-0x1f7,0x3f6 on irq 14",0
2019-06-09 06:06:24,smartd[1755]: Opened configuration file /etc/smartd.conf ,0
2019-06-09 06:06:24,"kernel: hdc: SAMSUNG CD-ROM SN-124, ATAPI CD/DVD-ROM drive",0
2019-06-09 06:06:24,smartd[1755]: Configuration file /etc/smartd.conf parsed. ,0
2019-06-09 06:06:24,kernel: hdc: Disabling (U)DMA for SAMSUNG CD-ROM SN-124 (blacklisted),0
2019-06-09 06:06:24,"smartd[1755]: Device: /dev/hda, opened ",0
2019-06-09 06:06:24,"kernel: ide1 at 0x170-0x177,0x376 on irq 15",0
2019-06-09 06:06:24,apmd[1717]: Charge: * * * (-1% unknown),0
2019-06-09 06:06:24,"smartd[1755]: Device: /dev/hda, found in smartd database. ",0
2019-06-09 06:06:24,kernel: hda: max request size: 128KiB,0
2019-06-09 06:06:24,"smartd[1755]: Device: /dev/hda, is SMART capable. Adding to ""monitor"" list. ",0
2019-06-09 06:06:24,"kernel: hda: 29336832 sectors (15020 MB) w/1916KiB Cache, CHS=29104/16/63, UDMA(66)",0
2019-06-09 06:06:24,smartd[1755]: Monitoring 1 ATA and 0 SCSI devices ,0
2019-06-09 06:06:24,kernel:  hda: hda1 hda2 hda3,0
2019-06-09 06:06:24,smartd[1757]: smartd has fork()ed into background mode. New PID=1757. ,0
2019-06-09 06:06:24,smartd: smartd startup succeeded,0
2019-06-09 06:06:24,"kernel: hdc: ATAPI 24X CD-ROM drive, 128kB Cache",0
2019-06-09 06:06:24,kernel: Uniform CD-ROM driver Revision: 3.20,0
2019-06-09 06:06:24,kernel: ide-floppy driver 0.99.newide,0
2019-06-09 06:06:24,kernel: usbcore: registered new driver hiddev,0
2019-06-09 06:06:24,kernel: usbcore: registered new driver hid,0
2019-06-09 06:06:24,kernel: drivers/usb/input/hid-core.c: v2.0:USB HID core driver,0
2019-06-09 06:06:25,kernel: mice: PS/2 mouse device common for all mice,0
2019-06-09 06:06:25,"kernel: serio: i8042 AUX port at 0x60,0x64 irq 12",0
2019-06-09 06:06:25,kernel: input: ImPS/2 Logitech Wheel Mouse on isa0060/serio1,0
2019-06-09 06:06:25,"kernel: serio: i8042 KBD port at 0x60,0x64 irq 1",0
2019-06-09 06:06:25,kernel: input: AT Translated Set 2 keyboard on isa0060/serio0,0
2019-06-09 06:06:25,"kernel: md: md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27",0
2019-06-09 06:06:25,kernel: NET: Registered protocol family 2,0
2019-06-09 06:06:25,"kernel: IP: routing cache hash table of 512 buckets, 4Kbytes",0
2019-06-09 06:06:26,kernel: TCP: Hash tables configured (established 8192 bind 16384),0
2019-06-09 06:06:26,kernel: Initializing IPsec netlink socket,0
2019-06-09 06:06:26,kernel: NET: Registered protocol family 1,0
2019-06-09 06:06:26,kernel: NET: Registered protocol family 17,0
2019-06-09 06:06:26,kernel: checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,0
2019-06-09 06:06:26,kernel: Freeing initrd memory: 186k freed,0
2019-06-09 06:06:26,kernel: md: Autodetecting RAID arrays.,0
2019-06-09 06:06:26,kernel: md: autorun ...,0
2019-06-09 06:06:26,kernel: md: ... autorun DONE.,0
2019-06-09 06:06:26,kernel: RAMDISK: Compressed image found at block 0,0
2019-06-09 06:06:26,rc: Starting hpoj:  succeeded,0
2019-06-09 06:06:26,kernel: VFS: Mounted root (ext2 filesystem).,0
2019-06-09 06:06:26,kernel: EXT3-fs: INFO: recovery required on readonly filesystem.,0
2019-06-09 06:06:26,kernel: EXT3-fs: write access will be enabled during recovery.,0
2019-06-09 06:06:26,kernel: kjournald starting.  Commit interval 5 seconds,0
2019-06-09 06:06:26,kernel: EXT3-fs: hda2: orphan cleanup on readonly fs,0
2019-06-09 06:06:27,kernel: EXT3-fs: hda2: 4 orphan inodes deleted,0
2019-06-09 06:06:27,kernel: EXT3-fs: recovery complete.,0
2019-06-09 06:06:27,kernel: EXT3-fs: mounted filesystem with ordered data mode.,0
2019-06-09 06:06:27,kernel: Freeing unused kernel memory: 144k freed,0
2019-06-09 06:06:27,kernel: SELinux:  Disabled at runtime.,0
2019-06-09 06:06:28,kernel: SELinux:  Unregistering netfilter hooks,0
2019-06-09 06:06:28,kernel: NET: Registered protocol family 10,0
2019-06-09 06:06:28,kernel: Disabled Privacy Extensions on device 022db720(lo),0
2019-06-09 06:06:28,kernel: IPv6 over IPv4 tunneling driver,0
2019-06-09 06:06:28,kernel: USB Universal Host Controller Interface driver v2.2,0
2019-06-09 06:06:28,kernel: PCI: Found IRQ 11 for device 0000:00:1f.2,0
2019-06-09 06:06:29,kernel: uhci_hcd 0000:00:1f.2: UHCI Host Controller,0
2019-06-09 06:06:29,"kernel: uhci_hcd 0000:00:1f.2: irq 11, io base 0000ff80",0
2019-06-09 06:06:29,"kernel: uhci_hcd 0000:00:1f.2: new USB bus registered, assigned bus number 1",0
2019-06-09 06:06:29,kernel: hub 1-0:1.0: USB hub found,0
2019-06-09 06:06:29,kernel: hub 1-0:1.0: 2 ports detected,0
2019-06-09 06:06:29,"kernel: EXT3 FS on hda2, internal journal",0
2019-06-09 06:06:30,kernel: device-mapper: 4.1.0-ioctl (2003-12-10) initialised: dm@uk.sistina.com,0
2019-06-09 06:06:30,kernel: cdrom: open failed.,1
2019-06-09 06:06:30,kernel: Adding 262072k swap on /dev/hda3.  Priority:-1 extents:1,0
2019-06-09 06:06:30,kernel: kjournald starting.  Commit interval 5 seconds,0
2019-06-09 06:06:30,"kernel: EXT3 FS on hda1, internal journal",0
2019-06-09 06:06:31,kernel: EXT3-fs: mounted filesystem with ordered data mode.,0
2019-06-09 06:06:31,kernel: IA-32 Microcode Update Driver: v1.13 <tigran@veritas.com>,0
2019-06-09 06:06:31,kernel: microcode: CPU0 already at revision 0x8 (current=0x8),0
2019-06-09 06:06:31,kernel: microcode: No suitable data for cpu 0,0
2019-06-09 06:06:31,"kernel: parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",0
2019-06-09 06:06:31,kernel: parport0: irq 7 detected,0
2019-06-09 06:06:31,kernel: SCSI subsystem initialized,0
2019-06-09 06:06:32,kernel: inserting floppy driver for 2.6.5-1.358,0
2019-06-09 06:06:32,kernel: Floppy drive(s): fd0 is 1.44M,0
2019-06-09 06:06:32,kernel: FDC 0 is a National Semiconductor PC87306,0
2019-06-09 06:06:33,kernel: PCI: Found IRQ 5 for device 0000:01:0c.0,0
2019-06-09 06:06:33,kernel: 3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,0
2019-06-09 06:06:34,kernel: 0000:01:0c.0: 3Com PCI 3c905C Tornado at 0xec80. Vers LK1.1.19,0
2019-06-09 06:06:34,kernel: ip_tables: (C) 2000-2002 Netfilter core team,0
2019-06-09 06:06:34,kernel: PCI: Found IRQ 5 for device 0000:01:0c.0,0
2019-06-09 06:06:34,kernel: 3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,0
2019-06-09 06:06:34,kernel: 0000:01:0c.0: 3Com PCI 3c905C Tornado at 0xec80. Vers LK1.1.19,0
2019-06-09 06:06:34,kernel: ip_tables: (C) 2000-2002 Netfilter core team,0
2019-06-09 06:06:34,kernel: process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,0
2019-06-09 06:06:34,kernel: Bluetooth: Core ver 2.4,0
2019-06-09 06:06:34,kernel: NET: Registered protocol family 31,0
2019-06-09 06:06:34,kernel: Bluetooth: HCI device and connection manager initialized,0
2019-06-09 06:06:34,kernel: Bluetooth: HCI socket layer initialized,0
2019-06-09 06:06:34,kernel: Bluetooth: L2CAP ver 2.1,0
2019-06-09 06:06:34,kernel: Bluetooth: L2CAP socket layer initialized,0
2019-06-09 06:06:34,kernel: Bluetooth: RFCOMM ver 1.2,0
2019-06-09 06:06:34,kernel: Bluetooth: RFCOMM socket layer initialized,0
2019-06-09 06:06:34,kernel: Bluetooth: RFCOMM TTY layer initialized,0
2019-06-09 06:06:34,"kernel: parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",0
2019-06-09 06:06:34,kernel: parport0: irq 7 detected,0
2019-06-09 06:06:34,kernel: lp0: using parport0 (polling).,0
2019-06-09 06:06:35,kernel: lp0: console ready,0
2019-06-09 06:06:37,cups: cupsd startup succeeded,0
2019-06-09 06:06:38,sshd:  succeeded,0
2019-06-09 06:06:38,xinetd: xinetd startup succeeded,0
2019-06-09 06:06:40,xinetd[2003]: No such internal service: services/stream - DISABLING,1
2019-06-09 06:06:40,sendmail: sendmail startup succeeded,0
2019-06-09 06:06:41,sendmail: sm-client startup succeeded,0
2019-06-09 06:06:41,xinetd[2003]: bind failed (Address already in use (errno = 98)). service = telnet,1
2019-06-09 06:06:41,xinetd[2003]: Service telnet failed to start and is deactivated.,1
2019-06-09 06:06:41,xinetd[2003]: xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,0
2019-06-09 06:06:41,xinetd[2003]: Started working: 30 available services,0
2019-06-09 06:06:44,spamassassin: spamd startup succeeded,0
2019-06-09 06:06:44,privoxy: Jun 09 06:06:44 Privoxy(-150093696) Info: loading configuration file '/etc/privoxy/config':,0
2019-06-09 06:06:45,udev[2054]: creating device node '/udev/lp0',0
2019-06-09 06:06:45,privoxy: privoxy startup succeeded,0
2019-06-09 06:06:45,gpm[2068]: *** info [startup.c(95)]: ,0
2019-06-09 06:06:45,gpm[2068]: Started gpm successfully. Entered daemon mode.,0
2019-06-09 06:06:46,gpm[2068]: *** info [mice.c(1766)]: ,0
2019-06-09 06:06:46,gpm[2068]: imps2: Auto-detected intellimouse PS/2,0
2019-06-09 06:06:46,gpm: gpm startup succeeded,0
2019-06-09 06:06:46,su(pam_unix)[2077]: session opened for user htt by (uid=0),0
2019-06-09 06:06:46,su(pam_unix)[2077]: session closed for user htt,0
2019-06-09 06:06:46,IIim: htt startup succeeded,0
2019-06-09 06:06:48,htt_server[2080]: started.,0
2019-06-09 06:06:49,canna:  succeeded,0
2019-06-09 06:06:49,crond: crond startup succeeded,0
2019-06-09 06:06:50,xfs: xfs startup succeeded,0
2019-06-09 06:06:51,anacron: anacron startup succeeded,0
2019-06-09 06:06:51,atd: atd startup succeeded,0
2019-06-09 06:06:51,readahead: Starting background readahead: ,0
2019-06-09 06:06:51,rc: Starting readahead:  succeeded,0
2019-06-09 06:06:52,messagebus: messagebus startup succeeded,0
2019-06-09 06:07:06,httpd: httpd startup succeeded,0
2019-06-09 06:07:07,squid[2261]: Squid Parent: child process 2264 started,0
2019-06-09 10:07:13,named[2275]: starting BIND 9.2.3 -u named -t /var/named/chroot,0
2019-06-09 10:07:13,named[2275]: using 1 CPU,0
2019-06-09 06:07:13,named: named startup succeeded,0
2019-06-09 10:07:13,named[2275]: loading configuration from '/etc/named.conf',0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface lo, 127.0.0.1#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0, 63.126.79.67#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0:1, 63.126.79.69#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0:2, 63.126.79.70#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0:3, 63.126.79.71#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0:4, 63.126.79.72#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0:5, 63.126.79.73#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0:6, 63.126.79.75#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0:7, 63.126.79.80#53",0
2019-06-09 10:07:13,"named[2275]: listening on IPv4 interface eth0:8, 63.126.79.81#53",0
2019-06-09 10:07:14,"named[2275]: listening on IPv4 interface eth0:9, 63.126.79.82#53",0
2019-06-09 10:07:14,"named[2275]: listening on IPv4 interface eth0:10, 63.126.79.83#53",0
2019-06-09 06:07:15,snmpd: snmpd startup succeeded,0
2019-06-09 10:07:15,"named[2275]: listening on IPv4 interface eth0:11, 63.126.79.84#53",0
2019-06-09 10:07:16,"named[2275]: listening on IPv4 interface eth0:12, 63.126.79.85#53",0
2019-06-09 06:07:16,snmpd[2287]: NET-SNMP version 5.1.1 ,0
2019-06-09 10:07:16,"named[2275]: listening on IPv4 interface eth0:13, 63.126.79.87#53",0
2019-06-09 06:07:17,ntpd[2296]: ntpd 4.2.0@1.1161-r Thu Mar 11 11:46:39 EST 2004 (1),0
2019-06-09 06:07:17,ntpd: ntpd startup succeeded,0
2019-06-09 10:07:17,"named[2275]: listening on IPv4 interface eth0:14, 63.126.79.89#53",0
2019-06-09 10:07:18,"named[2275]: listening on IPv4 interface eth0:15, 63.126.79.90#53",0
2019-06-09 10:07:18,"named[2275]: listening on IPv4 interface eth0:16, 63.126.79.95#53",0
2019-06-09 10:07:19,"named[2275]: listening on IPv4 interface eth0:17, 63.126.79.100#53",0
2019-06-09 06:07:19,ntpd[2296]: precision = 1.000 usec,0
2019-06-09 10:07:19,"named[2275]: listening on IPv4 interface eth0:18, 63.126.79.105#53",0
2019-06-09 10:07:20,"named[2275]: listening on IPv4 interface eth0:19, 63.126.79.110#53",0
2019-06-09 06:07:19,ntpd[2296]: kernel time sync status 0040,0
2019-06-09 10:07:20,"named[2275]: listening on IPv4 interface eth0:20, 63.126.79.115#53",0
2019-06-09 06:07:20,ntpd[2296]: frequency initialized 0.000 PPM from /var/lib/ntp/drift,0
2019-06-09 10:07:20,"named[2275]: listening on IPv4 interface eth0:21, 63.126.79.120#53",0
2019-06-09 10:07:21,"named[2275]: listening on IPv4 interface eth0:22, 63.126.79.125#53",0
2019-06-09 06:07:21,"ntpd[2296]: configure: keyword ""authenticate"" unknown, line ignored",1
2019-06-09 10:07:21,named[2275]: couldn't add command channel 127.0.0.1#953: not found,1
2019-06-09 10:07:22,named[2275]: couldn't add command channel ::1#953: not found,1
2019-06-09 06:07:22,mysqld: Starting MySQL:  succeeded,0
2019-06-09 10:07:22,named[2275]: running,0
2019-06-09 06:07:23,"rsyncd[2360]: rsyncd version 2.6.2 starting, listening on port 873 ",0
2019-06-09 06:07:23,mdmonitor: mdadm succeeded,0
2019-06-09 06:07:24,mdmpd: mdmpd failed,1
2019-06-09 06:07:26,udev[2514]: creating device node '/udev/vcs2',0
2019-06-09 06:07:26,udev[2515]: creating device node '/udev/vcsa2',0
2019-06-09 06:07:26,udev[2541]: creating device node '/udev/vcs1',0
2019-06-09 06:07:26,udev[2542]: creating device node '/udev/vcsa1',0
2019-06-09 06:07:26,udev[2555]: creating device node '/udev/vcs5',0
2019-06-09 06:07:26,udev[2566]: creating device node '/udev/vcsa5',0
2019-06-09 06:07:26,udev[2590]: removing device node '/udev/vcs2',0
2019-06-09 06:07:26,udev[2456]: removing device node '/udev/vcsa8',0
2019-06-09 06:07:26,udev[2611]: removing device node '/udev/vcsa5',0
2019-06-09 06:07:26,udev[2575]: removing device node '/udev/vcs1',0
2019-06-09 06:07:26,udev[2587]: removing device node '/udev/vcsa1',0
2019-06-09 06:07:26,udev[2596]: removing device node '/udev/vcs5',0
2019-06-09 06:07:26,udev[2606]: creating device node '/udev/vcs2',0
2019-06-09 06:07:26,udev[2455]: removing device node '/udev/vcs8',0
2019-06-09 06:07:26,udev[2498]: creating device node '/udev/vcsa3',0
2019-06-09 06:07:26,udev[2457]: creating device node '/udev/vcs3',0
2019-06-09 06:07:26,udev[2578]: removing device node '/udev/vcsa2',0
2019-06-09 06:07:27,udev[2720]: creating device node '/udev/vcsa5',0
2019-06-09 06:07:27,udev[2724]: creating device node '/udev/vcs1',0
2019-06-09 06:07:27,udev[2631]: creating device node '/udev/vcs6',0
2019-06-09 06:07:27,udev[2641]: creating device node '/udev/vcs4',0
2019-06-09 06:07:27,udev[2648]: creating device node '/udev/vcsa6',0
2019-06-09 06:07:27,udev[2655]: creating device node '/udev/vcsa4',0
2019-06-09 06:07:27,udev[2725]: creating device node '/udev/vcsa1',0
2019-06-09 06:07:28,udev[2734]: creating device node '/udev/vcs5',0
2019-06-09 06:07:28,udev[2743]: removing device node '/udev/vcsa3',0
2019-06-09 06:07:28,udev[2752]: removing device node '/udev/vcs3',0
2019-06-09 06:07:29,udev[2757]: creating device node '/udev/vcsa2',0
2019-06-09 06:07:29,udev[2770]: removing device node '/udev/vcs6',0
2019-06-09 06:07:30,udev[2779]: removing device node '/udev/vcs4',0
2019-06-09 06:07:30,udev[2789]: removing device node '/udev/vcsa6',0
2019-06-09 06:07:30,udev[2798]: removing device node '/udev/vcsa4',0
2019-06-09 06:07:31,udev[2811]: creating device node '/udev/vcsa3',0
2019-06-09 06:07:31,udev[2813]: creating device node '/udev/vcs3',0
2019-06-09 06:07:32,udev[2833]: creating device node '/udev/vcs6',0
2019-06-09 06:07:32,udev[2846]: creating device node '/udev/vcs4',0
2019-06-09 06:07:32,udev[2847]: creating device node '/udev/vcsa6',0
2019-06-09 06:07:32,udev[2848]: creating device node '/udev/vcsa4',0
2019-06-09 06:07:33,udev[2820]: creating device node '/udev/vcs7',0
2019-06-09 06:07:33,udev[2827]: creating device node '/udev/vcsa7',0
2019-06-09 06:07:34,udev[2889]: removing device node '/udev/vcs7',0
2019-06-09 06:07:34,udev[2898]: removing device node '/udev/vcsa7',0
2019-06-09 06:07:34,udev[2903]: creating device node '/udev/vcs7',0
2019-06-09 06:07:34,udev[2904]: creating device node '/udev/vcsa7',0
2019-06-09 06:10:35,"ntpd[2296]: synchronized to LOCAL(0), stratum=10",0
2019-06-09 06:10:35,ntpd[2296]: kernel time sync disabled 0041,0
2019-06-09 06:11:41,ntpd[2296]: kernel time sync enabled 0001,0
2019-06-10 04:02:23,xinetd[2003]: file descriptor of service comsat has been closed,1
2019-06-10 04:02:23,xinetd[2003]: select reported EBADF but no bad file descriptors were found,1
2019-06-10 04:03:01,su(pam_unix)[5120]: session opened for user cyrus by (uid=0),0
2019-06-10 04:03:01,su(pam_unix)[5120]: session closed for user cyrus,0
2019-06-10 04:03:02,logrotate: ALERT exited abnormally with [1],1
2019-06-10 04:09:15,su(pam_unix)[5493]: session opened for user news by (uid=0),0
2019-06-10 04:09:16,su(pam_unix)[5493]: session closed for user news,0
2019-06-10 11:31:44,syslogd 1.4.1: restart.,0
2019-06-10 11:31:44,syslog: syslogd startup succeeded,0
