Date,Time,Hostname,Message,Severity,Process,PID,User,IP,Len
2019-06-09,06:06:21,combo ,PCI: Probing PCI hardware (bus 00),0,kernel,NULL,root,127.0.0.1,34
2019-06-09,06:06:21,combo ,Transparent bridge - 0000:00:1e.0,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:21,combo ,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,0,kernel,NULL,root,127.0.0.1,58
2019-06-09,06:06:21,combo ,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:21,combo ,audit: initializing netlink socket (disabled),0,kernel,NULL,root,127.0.0.1,45
2019-06-09,06:06:21,combo ,audit(1118297138.4294965368:0): initialized,0,kernel,NULL,root,127.0.0.1,43
2019-06-09,06:06:21,combo ,"Total HugeTLB memory allocated, 0",0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:21,combo ,Starting pcmcia:  succeeded,0,rc,NULL,root,127.0.0.1,27
2019-06-09,06:06:21,combo ,VFS: Disk quotas dquot_6.5.1,0,kernel,NULL,root,127.0.0.1,28
2019-06-09,06:06:21,combo ,"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",0,kernel,NULL,root,127.0.0.1,58
2019-06-09,06:06:21,combo ,SELinux:  Registering netfilter hooks,0,kernel,NULL,root,127.0.0.1,37
2019-06-09,06:06:21,combo ,Initializing Cryptographic API,0,kernel,NULL,root,127.0.0.1,30
2019-06-09,06:06:21,combo ,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,0,kernel,NULL,root,127.0.0.1,47
2019-06-09,06:06:21,combo ,isapnp: Scanning for PnP cards...,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:21,combo ,isapnp: No Plug & Play device found,0,kernel,NULL,root,127.0.0.1,35
2019-06-09,06:06:21,combo ,Real Time Clock Driver v1.12,0,kernel,NULL,root,127.0.0.1,28
2019-06-09,06:06:21,combo ,Linux agpgart interface v0.100 (c) Dave Jones,0,kernel,NULL,root,127.0.0.1,45
2019-06-09,06:06:21,combo ,agpgart: Detected an Intel i810 E Chipset.,0,kernel,NULL,root,127.0.0.1,42
2019-06-09,06:06:21,combo ,agpgart: Maximum main memory to use for agp memory: 93M,0,kernel,NULL,root,127.0.0.1,55
2019-06-09,06:06:22,combo ,hcid startup succeeded,0,bluetooth,NULL,root,127.0.0.1,22
2019-06-09,06:06:22,combo ,agpgart: detected 4MB dedicated video ram.,0,kernel,NULL,root,127.0.0.1,42
2019-06-09,06:06:22,combo ,HCI daemon ver 2.4 started,0,hcid,[1677],root,127.0.0.1,26
2019-06-09,06:06:17,combo ,Setting network parameters:  succeeded ,0,network,NULL,root,127.0.0.1,39
2019-06-09,06:06:22,combo ,sdpd startup succeeded,0,bluetooth,NULL,root,127.0.0.1,22
2019-06-09,06:06:22,combo ,agpgart: AGP aperture is 64M @ 0xf4000000,0,kernel,NULL,root,127.0.0.1,41
2019-06-09,06:06:22,combo ,sdpd v1.5 started ,0,sdpd,[1681],root,127.0.0.1,18
2019-06-09,06:06:17,combo ,Bringing up loopback interface:  succeeded ,0,network,NULL,root,127.0.0.1,43
2019-06-09,06:06:22,combo ,"Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled",0,kernel,NULL,root,127.0.0.1,72
2019-06-09,06:06:22,combo ,ttyS0 at I/O 0x3f8 (irq = 4) is a 16550A,0,kernel,NULL,root,127.0.0.1,40
2019-06-09,06:06:22,combo ,ttyS1 at I/O 0x2f8 (irq = 3) is a 16550A,0,kernel,NULL,root,127.0.0.1,40
2019-06-09,06:06:22,combo ,RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,0,kernel,NULL,root,127.0.0.1,70
2019-06-09,06:06:22,combo ,Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2,0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:23,combo ,Mounting other filesystems:  succeeded,0,netfs,NULL,root,127.0.0.1,38
2019-06-09,06:06:23,combo ,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,0,kernel,NULL,root,127.0.0.1,75
2019-06-09,06:06:23,combo ,ICH: IDE controller at PCI slot 0000:00:1f.1,0,kernel,NULL,root,127.0.0.1,44
2019-06-09,06:06:23,combo ,"Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)",0,apmd,[1717],root,127.0.0.1,49
2019-06-09,06:06:23,combo ,apmd startup succeeded,0,apmd,NULL,root,127.0.0.1,22
2019-06-09,06:06:23,combo ,ICH: chipset revision 2,0,kernel,NULL,root,127.0.0.1,23
2019-06-09,06:06:23,combo ,ICH: not 100%% native mode: will probe irqs later,0,kernel,NULL,root,127.0.0.1,49
2019-06-09,06:06:23,combo ,"    ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio",0,kernel,NULL,root,127.0.0.1,66
2019-06-09,06:06:24,combo ,automount startup succeeded,0,autofs,NULL,root,127.0.0.1,27
2019-06-09,06:06:24,combo ,"    ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio",0,kernel,NULL,root,127.0.0.1,66
2019-06-09,06:06:24,combo ,"hda: IBM-DTLA-307015, ATA DISK drive",0,kernel,NULL,root,127.0.0.1,36
2019-06-09,06:06:24,combo ,smartd version 5.21 Copyright (C) 2002-3 Bruce Allen ,0,smartd,[1755],root,127.0.0.1,53
2019-06-09,06:06:24,combo ,Using cfq io scheduler,0,kernel,NULL,root,127.0.0.1,22
2019-06-09,06:06:24,combo ,Home page is http://smartmontools.sourceforge.net/  ,0,smartd,[1755],root,127.0.0.1,52
2019-06-09,06:06:24,combo ,"ide0 at 0x1f0-0x1f7,0x3f6 on irq 14",0,kernel,NULL,root,127.0.0.1,35
2019-06-09,06:06:24,combo ,Opened configuration file /etc/smartd.conf ,0,smartd,[1755],root,127.0.0.1,43
2019-06-09,06:06:24,combo ,"hdc: SAMSUNG CD-ROM SN-124, ATAPI CD/DVD-ROM drive",0,kernel,NULL,root,127.0.0.1,50
2019-06-09,06:06:24,combo ,Configuration file /etc/smartd.conf parsed. ,0,smartd,[1755],root,127.0.0.1,44
2019-06-09,06:06:24,combo ,hdc: Disabling (U)DMA for SAMSUNG CD-ROM SN-124 (blacklisted),0,kernel,NULL,root,127.0.0.1,61
2019-06-09,06:06:24,combo ,"Device: /dev/hda, opened ",0,smartd,[1755],root,127.0.0.1,25
2019-06-09,06:06:24,combo ,"ide1 at 0x170-0x177,0x376 on irq 15",0,kernel,NULL,root,127.0.0.1,35
2019-06-09,06:06:24,combo ,Charge: * * * (-1% unknown),0,apmd,[1717],root,127.0.0.1,27
2019-06-09,06:06:24,combo ,"Device: /dev/hda, found in smartd database. ",0,smartd,[1755],root,127.0.0.1,44
2019-06-09,06:06:24,combo ,hda: max request size: 128KiB,0,kernel,NULL,root,127.0.0.1,29
2019-06-09,06:06:24,combo ,"Device: /dev/hda, is SMART capable. Adding to ""monitor"" list. ",0,smartd,[1755],root,127.0.0.1,62
2019-06-09,06:06:24,combo ,"hda: 29336832 sectors (15020 MB) w/1916KiB Cache, CHS=29104/16/63, UDMA(66)",0,kernel,NULL,root,127.0.0.1,75
2019-06-09,06:06:24,combo ,Monitoring 1 ATA and 0 SCSI devices ,0,smartd,[1755],root,127.0.0.1,36
2019-06-09,06:06:24,combo , hda: hda1 hda2 hda3,0,kernel,NULL,root,127.0.0.1,20
2019-06-09,06:06:24,combo ,smartd has fork()ed into background mode. New PID=1757. ,0,smartd,[1757],root,127.0.0.1,56
2019-06-09,06:06:24,combo ,smartd startup succeeded,0,smartd,NULL,root,127.0.0.1,24
2019-06-09,06:06:24,combo ,"hdc: ATAPI 24X CD-ROM drive, 128kB Cache",0,kernel,NULL,root,127.0.0.1,40
2019-06-09,06:06:24,combo ,Uniform CD-ROM driver Revision: 3.20,0,kernel,NULL,root,127.0.0.1,36
2019-06-09,06:06:24,combo ,ide-floppy driver 0.99.newide,0,kernel,NULL,root,127.0.0.1,29
2019-06-09,06:06:24,combo ,usbcore: registered new driver hiddev,0,kernel,NULL,root,127.0.0.1,37
2019-06-09,06:06:24,combo ,usbcore: registered new driver hid,0,kernel,NULL,root,127.0.0.1,34
2019-06-09,06:06:24,combo ,drivers/usb/input/hid-core.c: v2.0:USB HID core driver,0,kernel,NULL,root,127.0.0.1,54
2019-06-09,06:06:25,combo ,mice: PS/2 mouse device common for all mice,0,kernel,NULL,root,127.0.0.1,43
2019-06-09,06:06:25,combo ,"serio: i8042 AUX port at 0x60,0x64 irq 12",0,kernel,NULL,root,127.0.0.1,41
2019-06-09,06:06:25,combo ,input: ImPS/2 Logitech Wheel Mouse on isa0060/serio1,0,kernel,NULL,root,127.0.0.1,52
2019-06-09,06:06:25,combo ,"serio: i8042 KBD port at 0x60,0x64 irq 1",0,kernel,NULL,root,127.0.0.1,40
2019-06-09,06:06:25,combo ,input: AT Translated Set 2 keyboard on isa0060/serio0,0,kernel,NULL,root,127.0.0.1,53
2019-06-09,06:06:25,combo ,"md: md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27",0,kernel,NULL,root,127.0.0.1,52
2019-06-09,06:06:25,combo ,NET: Registered protocol family 2,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:25,combo ,"IP: routing cache hash table of 512 buckets, 4Kbytes",0,kernel,NULL,root,127.0.0.1,52
2019-06-09,06:06:26,combo ,TCP: Hash tables configured (established 8192 bind 16384),0,kernel,NULL,root,127.0.0.1,57
2019-06-09,06:06:26,combo ,Initializing IPsec netlink socket,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:26,combo ,NET: Registered protocol family 1,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:26,combo ,NET: Registered protocol family 17,0,kernel,NULL,root,127.0.0.1,34
2019-06-09,06:06:26,combo ,checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,0,kernel,NULL,root,127.0.0.1,79
2019-06-09,06:06:26,combo ,Freeing initrd memory: 186k freed,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:26,combo ,md: Autodetecting RAID arrays.,0,kernel,NULL,root,127.0.0.1,30
2019-06-09,06:06:26,combo ,md: autorun ...,0,kernel,NULL,root,127.0.0.1,15
2019-06-09,06:06:26,combo ,md: ... autorun DONE.,0,kernel,NULL,root,127.0.0.1,21
2019-06-09,06:06:26,combo ,RAMDISK: Compressed image found at block 0,0,kernel,NULL,root,127.0.0.1,42
2019-06-09,06:06:26,combo ,Starting hpoj:  succeeded,0,rc,NULL,root,127.0.0.1,25
2019-06-09,06:06:26,combo ,VFS: Mounted root (ext2 filesystem).,0,kernel,NULL,root,127.0.0.1,36
2019-06-09,06:06:26,combo ,EXT3-fs: INFO: recovery required on readonly filesystem.,0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:26,combo ,EXT3-fs: write access will be enabled during recovery.,0,kernel,NULL,root,127.0.0.1,54
2019-06-09,06:06:26,combo ,kjournald starting.  Commit interval 5 seconds,0,kernel,NULL,root,127.0.0.1,46
2019-06-09,06:06:26,combo ,EXT3-fs: hda2: orphan cleanup on readonly fs,0,kernel,NULL,root,127.0.0.1,44
2019-06-09,06:06:27,combo ,EXT3-fs: hda2: 4 orphan inodes deleted,0,kernel,NULL,root,127.0.0.1,38
2019-06-09,06:06:27,combo ,EXT3-fs: recovery complete.,0,kernel,NULL,root,127.0.0.1,27
2019-06-09,06:06:27,combo ,EXT3-fs: mounted filesystem with ordered data mode.,0,kernel,NULL,root,127.0.0.1,51
2019-06-09,06:06:27,combo ,Freeing unused kernel memory: 144k freed,0,kernel,NULL,root,127.0.0.1,40
2019-06-09,06:06:27,combo ,SELinux:  Disabled at runtime.,0,kernel,NULL,root,127.0.0.1,30
2019-06-09,06:06:28,combo ,SELinux:  Unregistering netfilter hooks,0,kernel,NULL,root,127.0.0.1,39
2019-06-09,06:06:28,combo ,NET: Registered protocol family 10,0,kernel,NULL,root,127.0.0.1,34
2019-06-09,06:06:28,combo ,Disabled Privacy Extensions on device 022db720(lo),0,kernel,NULL,root,127.0.0.1,50
2019-06-09,06:06:28,combo ,IPv6 over IPv4 tunneling driver,0,kernel,NULL,root,127.0.0.1,31
2019-06-09,06:06:28,combo ,USB Universal Host Controller Interface driver v2.2,0,kernel,NULL,root,127.0.0.1,51
2019-06-09,06:06:28,combo ,PCI: Found IRQ 11 for device 0000:00:1f.2,0,kernel,NULL,root,127.0.0.1,41
2019-06-09,06:06:29,combo ,uhci_hcd 0000:00:1f.2: UHCI Host Controller,0,kernel,NULL,root,127.0.0.1,43
2019-06-09,06:06:29,combo ,"uhci_hcd 0000:00:1f.2: irq 11, io base 0000ff80",0,kernel,NULL,root,127.0.0.1,47
2019-06-09,06:06:29,combo ,"uhci_hcd 0000:00:1f.2: new USB bus registered, assigned bus number 1",0,kernel,NULL,root,127.0.0.1,68
2019-06-09,06:06:29,combo ,hub 1-0:1.0: USB hub found,0,kernel,NULL,root,127.0.0.1,26
2019-06-09,06:06:29,combo ,hub 1-0:1.0: 2 ports detected,0,kernel,NULL,root,127.0.0.1,29
2019-06-09,06:06:29,combo ,"EXT3 FS on hda2, internal journal",0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:30,combo ,device-mapper: 4.1.0-ioctl (2003-12-10) initialised: dm@uk.sistina.com,0,kernel,NULL,root,127.0.0.1,70
2019-06-09,06:06:30,combo ,cdrom: open failed.,1,kernel,NULL,root,127.0.0.1,19
2019-06-09,06:06:30,combo ,Adding 262072k swap on /dev/hda3.  Priority:-1 extents:1,0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:30,combo ,kjournald starting.  Commit interval 5 seconds,0,kernel,NULL,root,127.0.0.1,46
2019-06-09,06:06:30,combo ,"EXT3 FS on hda1, internal journal",0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:31,combo ,EXT3-fs: mounted filesystem with ordered data mode.,0,kernel,NULL,root,127.0.0.1,51
2019-06-09,06:06:31,combo ,IA-32 Microcode Update Driver: v1.13 <tigran@veritas.com>,0,kernel,NULL,root,127.0.0.1,57
2019-06-09,06:06:31,combo ,microcode: CPU0 already at revision 0x8 (current=0x8),0,kernel,NULL,root,127.0.0.1,53
2019-06-09,06:06:31,combo ,microcode: No suitable data for cpu 0,0,kernel,NULL,root,127.0.0.1,37
2019-06-09,06:06:31,combo ,"parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:31,combo ,parport0: irq 7 detected,0,kernel,NULL,root,127.0.0.1,24
2019-06-09,06:06:31,combo ,SCSI subsystem initialized,0,kernel,NULL,root,127.0.0.1,26
2019-06-09,06:06:32,combo ,inserting floppy driver for 2.6.5-1.358,0,kernel,NULL,root,127.0.0.1,39
2019-06-09,06:06:32,combo ,Floppy drive(s): fd0 is 1.44M,0,kernel,NULL,root,127.0.0.1,29
2019-06-09,06:06:32,combo ,FDC 0 is a National Semiconductor PC87306,0,kernel,NULL,root,127.0.0.1,41
2019-06-09,06:06:33,combo ,PCI: Found IRQ 5 for device 0000:01:0c.0,0,kernel,NULL,root,127.0.0.1,40
2019-06-09,06:06:33,combo ,3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,0,kernel,NULL,root,127.0.0.1,66
2019-06-09,06:06:34,combo ,0000:01:0c.0: 3Com PCI 3c905C Tornado at 0xec80. Vers LK1.1.19,0,kernel,NULL,root,127.0.0.1,62
2019-06-09,06:06:34,combo ,ip_tables: (C) 2000-2002 Netfilter core team,0,kernel,NULL,root,127.0.0.1,44
2019-06-09,06:06:34,combo ,PCI: Found IRQ 5 for device 0000:01:0c.0,0,kernel,NULL,root,127.0.0.1,40
2019-06-09,06:06:34,combo ,3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,0,kernel,NULL,root,127.0.0.1,66
2019-06-09,06:06:34,combo ,0000:01:0c.0: 3Com PCI 3c905C Tornado at 0xec80. Vers LK1.1.19,0,kernel,NULL,root,127.0.0.1,62
2019-06-09,06:06:34,combo ,ip_tables: (C) 2000-2002 Netfilter core team,0,kernel,NULL,root,127.0.0.1,44
2019-06-09,06:06:34,combo ,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,0,kernel,NULL,root,127.0.0.1,59
2019-06-09,06:06:34,combo ,Bluetooth: Core ver 2.4,0,kernel,NULL,root,127.0.0.1,23
2019-06-09,06:06:34,combo ,NET: Registered protocol family 31,0,kernel,NULL,root,127.0.0.1,34
2019-06-09,06:06:34,combo ,Bluetooth: HCI device and connection manager initialized,0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:34,combo ,Bluetooth: HCI socket layer initialized,0,kernel,NULL,root,127.0.0.1,39
2019-06-09,06:06:34,combo ,Bluetooth: L2CAP ver 2.1,0,kernel,NULL,root,127.0.0.1,24
2019-06-09,06:06:34,combo ,Bluetooth: L2CAP socket layer initialized,0,kernel,NULL,root,127.0.0.1,41
2019-06-09,06:06:34,combo ,Bluetooth: RFCOMM ver 1.2,0,kernel,NULL,root,127.0.0.1,25
2019-06-09,06:06:34,combo ,Bluetooth: RFCOMM socket layer initialized,0,kernel,NULL,root,127.0.0.1,42
2019-06-09,06:06:34,combo ,Bluetooth: RFCOMM TTY layer initialized,0,kernel,NULL,root,127.0.0.1,39
2019-06-09,06:06:34,combo ,"parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:34,combo ,parport0: irq 7 detected,0,kernel,NULL,root,127.0.0.1,24
2019-06-09,06:06:34,combo ,lp0: using parport0 (polling).,0,kernel,NULL,root,127.0.0.1,30
2019-06-09,06:06:35,combo ,lp0: console ready,0,kernel,NULL,root,127.0.0.1,18
2019-06-09,06:06:37,combo ,cupsd startup succeeded,0,cups,NULL,root,127.0.0.1,23
2019-06-09,06:06:38,combo , succeeded,0,sshd,NULL,root,127.0.0.1,10
2019-06-09,06:06:38,combo ,xinetd startup succeeded,0,xinetd,NULL,root,127.0.0.1,24
2019-06-09,06:06:40,combo ,No such internal service: services/stream - DISABLING,1,xinetd,[2003],root,127.0.0.1,53
2019-06-09,06:06:40,combo ,sendmail startup succeeded,0,sendmail,NULL,root,127.0.0.1,26
2019-06-09,06:06:41,combo ,sm-client startup succeeded,0,sendmail,NULL,root,127.0.0.1,27
2019-06-09,06:06:41,combo ,bind failed (Address already in use (errno = 98)). service = telnet,1,xinetd,[2003],root,127.0.0.1,67
2019-06-09,06:06:41,combo ,Service telnet failed to start and is deactivated.,1,xinetd,[2003],root,127.0.0.1,50
2019-06-09,06:06:41,combo ,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,0,xinetd,[2003],root,127.0.0.1,71
2019-06-09,06:06:41,combo ,Started working: 30 available services,0,xinetd,[2003],root,127.0.0.1,38
2019-06-09,06:06:44,combo ,spamd startup succeeded,0,spamassassin,NULL,root,127.0.0.1,23
2019-06-09,06:06:44,combo ,Jun 09 06:06:44 Privoxy(-150093696) Info: loading configuration file '/etc/privoxy/config':,0,privoxy,NULL,root,127.0.0.1,91
2019-06-09,06:06:45,combo ,creating device node '/udev/lp0',0,udev,[2054],root,127.0.0.1,32
2019-06-09,06:06:45,combo ,privoxy startup succeeded,0,privoxy,NULL,root,127.0.0.1,25
2019-06-09,06:06:45,combo ,*** info [startup.c(95)]: ,0,gpm,[2068],root,127.0.0.1,26
